['Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000']
         429340 function calls (414617 primitive calls) in 6.025 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     78/1    0.001    0.000    6.025    6.025 {built-in method builtins.exec}
        1    0.000    0.000    6.025    6.025 financial.py:1(<module>)
        1    0.000    0.000    5.861    5.861 financial.py:8(get_row)
        1    5.002    5.002    5.002    5.002 {built-in method time.sleep}
      725    0.001    0.000    0.677    0.001 socket.py:575(readinto)
      725    0.001    0.000    0.674    0.001 ssl.py:1060(recv_into)
      725    0.001    0.000    0.673    0.001 ssl.py:920(read)
      725    0.673    0.001    0.673    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.501    0.501 request.py:139(urlopen)
        1    0.000    0.000    0.496    0.496 request.py:507(open)
        1    0.000    0.000    0.496    0.496 request.py:535(_open)
        2    0.000    0.000    0.496    0.248 request.py:496(_call_chain)
        1    0.000    0.000    0.496    0.496 request.py:1391(https_open)
        1    0.000    0.000    0.496    0.496 request.py:1308(do_open)
        1    0.000    0.000    0.416    0.416 client.py:1310(getresponse)
        1    0.000    0.000    0.415    0.415 client.py:299(begin)
       82    0.000    0.000    0.415    0.005 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.415    0.415 client.py:266(_read_status)
        1    0.000    0.000    0.265    0.265 client.py:446(read)
        1    0.000    0.000    0.265    0.265 client.py:566(_readall_chunked)
      122    0.000    0.000    0.264    0.002 client.py:604(_safe_read)
      122    0.001    0.000    0.263    0.002 {method 'read' of '_io.BufferedReader' objects}
     95/3    0.000    0.000    0.166    0.055 <frozen importlib._bootstrap>:978(_find_and_load)
     95/3    0.000    0.000    0.166    0.055 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     89/4    0.000    0.000    0.165    0.041 <frozen importlib._bootstrap>:663(_load_unlocked)
     68/4    0.000    0.000    0.165    0.041 <frozen importlib._bootstrap_external>:722(exec_module)
    123/4    0.000    0.000    0.164    0.041 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.123    0.123 __init__.py:15(<module>)
        1    0.000    0.000    0.120    0.120 __init__.py:2(<module>)
        1    0.000    0.000    0.113    0.113 element.py:2(<module>)
      263    0.000    0.000    0.091    0.000 re.py:234(compile)
      263    0.002    0.000    0.091    0.000 re.py:273(_compile)
      123    0.001    0.000    0.088    0.001 sre_compile.py:759(compile)
    14/10    0.000    0.000    0.082    0.008 {built-in method builtins.__import__}
      270    0.004    0.000    0.081    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.080    0.080 client.py:1259(request)
        1    0.000    0.000    0.080    0.080 client.py:1264(_send_request)
        1    0.000    0.000    0.080    0.080 client.py:1246(endheaders)
        1    0.000    0.000    0.080    0.080 client.py:1019(_send_output)
        1    0.000    0.000    0.080    0.080 client.py:960(send)
        1    0.000    0.000    0.080    0.080 client.py:1421(connect)
  148/114    0.000    0.000    0.077    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    0.075    0.075 __init__.py:117(__init__)
        1    0.000    0.000    0.074    0.074 __init__.py:441(_feed)
        1    0.000    0.000    0.074    0.074 _htmlparser.py:384(feed)
        1    0.000    0.000    0.074    0.074 parser.py:104(feed)
        2    0.006    0.003    0.074    0.037 parser.py:134(goahead)
        1    0.000    0.000    0.068    0.068 __init__.py:27(<module>)
        1    0.000    0.000    0.067    0.067 css_parser.py:1(<module>)
      123    0.000    0.000    0.057    0.000 sre_parse.py:913(parse)
  896/124    0.004    0.000    0.056    0.000 sre_parse.py:411(_parse_sub)
 2796/128    0.019    0.000    0.056    0.000 sre_parse.py:469(_parse)
     1267    0.008    0.000    0.045    0.000 parser.py:301(parse_starttag)
        1    0.000    0.000    0.043    0.043 formatter.py:1(<module>)
        1    0.000    0.000    0.042    0.042 dammit.py:8(<module>)
        1    0.000    0.000    0.040    0.040 client.py:937(connect)
        1    0.000    0.000    0.040    0.040 socket.py:691(create_connection)
        1    0.000    0.000    0.040    0.040 request.py:68(<module>)
        1    0.000    0.000    0.039    0.039 ssl.py:410(wrap_socket)
        1    0.000    0.000    0.039    0.039 ssl.py:813(_create)
        1    0.000    0.000    0.039    0.039 ssl.py:1132(do_handshake)
        1    0.039    0.039    0.039    0.039 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.038    0.038    0.038    0.038 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.037    0.037 css_parser.py:417(CSSParser)
       15    0.000    0.000    0.036    0.002 css_parser.py:294(__init__)
        1    0.000    0.000    0.034    0.034 dammit.py:2310(EntitySubstitution)
        1    0.004    0.004    0.034    0.034 dammit.py:2313(_populate_class_variables)
      123    0.000    0.000    0.030    0.000 sre_compile.py:598(_code)
     1267    0.003    0.000    0.024    0.000 _htmlparser.py:119(handle_starttag)
 3204/123    0.011    0.000    0.024    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.021    0.021 client.py:69(<module>)
     1267    0.003    0.000    0.020    0.000 __init__.py:691(handle_starttag)
        1    0.000    0.000    0.018    0.018 css_parser.py:314(__init__)
       36    0.000    0.000    0.016    0.000 element.py:1847(find_all)
       36    0.001    0.000    0.016    0.000 element.py:780(_find_all)
       14    0.000    0.000    0.015    0.001 css_parser.py:1040(process_selectors)
    45/14    0.001    0.000    0.015    0.001 css_parser.py:847(parse_selectors)
     1199    0.003    0.000    0.015    0.000 parser.py:386(parse_endtag)
     1802    0.001    0.000    0.014    0.000 element.py:2123(search)
       68    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:793(get_code)
        1    0.000    0.000    0.013    0.013 parser.py:5(<module>)
     1268    0.005    0.000    0.013    0.000 element.py:1152(__init__)
       89    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.013    0.013 feedparser.py:20(<module>)
     1368    0.003    0.000    0.012    0.000 element.py:2060(search_tag)
    35/27    0.000    0.000    0.011    0.000 css_parser.py:557(parse_pseudo_class)
       18    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.011    0.011 _policybase.py:4(<module>)
    31/26    0.000    0.000    0.011    0.000 css_parser.py:704(parse_pseudo_open)
       18    0.011    0.001    0.011    0.001 {built-in method _imp.create_dynamic}
     1267    0.001    0.000    0.011    0.000 _htmlparser.py:171(handle_endtag)
       94    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     1267    0.001    0.000    0.010    0.000 __init__.py:729(handle_endtag)
    12013    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
       91    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       91    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
       68    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       68    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
    47730    0.006    0.000    0.008    0.000 {built-in method builtins.isinstance}
    17638    0.006    0.000    0.008    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.008    0.008 utils.py:5(<module>)
2196/1364    0.003    0.000    0.007    0.000 element.py:2156(_matches)
 3145/236    0.005    0.000    0.007    0.000 sre_parse.py:174(getwidth)
      240    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      510    0.004    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
      960    0.004    0.000    0.006    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
     9069    0.003    0.000    0.006    0.000 sre_parse.py:254(get)
    14567    0.006    0.000    0.006    0.000 sre_parse.py:233(__next)
      123    0.001    0.000    0.006    0.000 sre_compile.py:536(_compile_info)
      108    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.006    0.006 css_match.py:1(<module>)
41504/37693    0.004    0.000    0.006    0.000 {built-in method builtins.len}
     2117    0.000    0.000    0.005    0.000 {built-in method builtins.next}
       77    0.001    0.000    0.005    0.000 css_parser.py:450(parse_attribute_selector)
     2539    0.002    0.000    0.005    0.000 __init__.py:555(endData)
     1267    0.002    0.000    0.005    0.000 __init__.py:657(_popToTag)
        1    0.000    0.000    0.005    0.005 _htmlparser.py:2(<module>)
    49210    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.004    0.004 parser.py:1(<module>)
      313    0.001    0.000    0.004    0.000 css_parser.py:999(selector_iter)
     1267    0.001    0.000    0.004    0.000 parser.py:352(check_for_whole_start_tag)
        1    0.000    0.000    0.004    0.004 request.py:575(build_opener)
       34    0.000    0.000    0.004    0.000 element.py:1822(find)
        1    0.000    0.000    0.004    0.004 ssl.py:91(<module>)
     7106    0.002    0.000    0.004    0.000 sre_parse.py:249(match)
       10    0.000    0.000    0.004    0.000 enum.py:638(_convert)
       13    0.002    0.000    0.004    0.000 enum.py:140(__new__)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
        1    0.000    0.000    0.004    0.004 request.py:797(__init__)
        1    0.000    0.000    0.004    0.004 request.py:2647(getproxies)
        1    0.000    0.000    0.004    0.004 tempfile.py:24(<module>)
     4940    0.002    0.000    0.003    0.000 _markupbase.py:48(updatepos)
        1    0.000    0.000    0.003    0.003 request.py:2624(getproxies_macosx_sysconf)
        1    0.003    0.003    0.003    0.003 {built-in method _scproxy._get_proxies}
      332    0.000    0.000    0.003    0.000 enum.py:289(__call__)
        1    0.000    0.000    0.003    0.003 shutil.py:5(<module>)
      475    0.002    0.000    0.003    0.000 css_types.py:37(__init__)
  137/132    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
     3707    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
       45    0.000    0.000    0.003    0.000 css_parser.py:997(<listcomp>)
     1268    0.003    0.000    0.003    0.000 __init__.py:541(pushTag)
      662    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x10f7f7d50}
     7441    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
       10    0.000    0.000    0.003    0.000 enum.py:394(_create_)
        1    0.000    0.000    0.002    0.002 socket.py:735(getaddrinfo)
       68    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.001    0.001    0.002    0.002 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.002    0.002 hashlib.py:54(<module>)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
       83    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
      426    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
     2132    0.002    0.000    0.002    0.000 element.py:158(setup)
      426    0.002    0.000    0.002    0.000 {built-in method posix.stat}
     2241    0.001    0.000    0.002    0.000 css_parser.py:305(match)
     2205    0.001    0.000    0.002    0.000 element.py:2023(_normalize_search_value)
     1267    0.002    0.000    0.002    0.000 __init__.py:527(popTag)
      818    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     8573    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     1204    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      959    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
     4636    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.002    0.002 linecache.py:6(<module>)
      137    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
      296    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     4590    0.001    0.000    0.002    0.000 abc.py:137(__instancecheck__)
        2    0.000    0.000    0.002    0.001 __init__.py:1(<module>)
     5339    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
       67    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
       89    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      432    0.000    0.000    0.002    0.000 element.py:932(__new__)
     3701    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
     2907    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
    11107    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      432    0.001    0.000    0.001    0.000 __init__.py:589(object_was_parsed)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
     7647    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
     2809    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
       56    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     5971    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.001    0.001 _htmlparser.py:335(prepare_markup)
        1    0.000    0.000    0.001    0.001 client.py:1385(__init__)
        1    0.000    0.000    0.001    0.001 dammit.py:2784(__init__)
        1    0.000    0.000    0.001    0.001 ssl.py:592(_create_unverified_context)
        1    0.000    0.000    0.001    0.001 ssl.py:398(__new__)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        9    0.000    0.000    0.001    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      852    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.001    0.001 dammit.py:2889(_convert_from)
        1    0.001    0.001    0.001    0.001 dammit.py:2920(_to_unicode)
       62    0.000    0.000    0.001    0.000 client.py:542(_get_chunk_left)
        1    0.000    0.000    0.001    0.001 idna.py:3(<module>)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
      510    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
     1204    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      136    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      544    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       10    0.000    0.000    0.001    0.000 enum.py:659(<listcomp>)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
       95    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
     4590    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       68    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
     5715    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      594    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
      154    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
      725    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      408    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
      198    0.000    0.000    0.001    0.000 enum.py:71(__setitem__)
      123    0.000    0.000    0.001    0.000 enum.py:841(__and__)
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
     3606    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1267    0.001    0.000    0.001    0.000 element.py:1284(is_empty_element)
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
       89    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
